profile_id,executions_total,executions_fully_scored,coverage_rate,stability_mean,validity_signal_mean,factual_risk_mean,semantic_variation_rate,coherence_mean,flag_rate,error_rate,dominant_regime
PROFILE-161CC5,400,400,1.0,0.922615,0.9985,0.0015,0.0,1.0,0.0025,0.0,NORMAL_SIGNAL
PROFILE-212079,400,399,0.9975,0.917833,0.982957,0.017043,0.0,1.0,0.0175,0.0,NORMAL_SIGNAL
PROFILE-486F91,400,399,0.9975,0.921458,0.994737,0.005263,0.002506,1.0,0.01,0.0,NORMAL_SIGNAL
PROFILE-48C581,400,400,1.0,0.92,0.99,0.01,0.005,1.0,0.02,0.0,NORMAL_SIGNAL
PROFILE-59664C,400,400,1.0,0.923077,1.0,0.0,0.035,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-5A5C60,400,400,1.0,0.923077,1.0,0.0,0.01,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-5B3BB7,400,398,0.995,0.922149,0.996985,0.003015,0.0,1.0,0.005,0.0,NORMAL_SIGNAL
PROFILE-638E26,400,398,0.995,0.923077,1.0,0.0,0.110553,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-739F7C,400,399,0.9975,0.921997,0.996491,0.003509,0.002506,1.0,0.005,0.0,NORMAL_SIGNAL
PROFILE-B912EA,400,380,0.95,0.923077,1.0,0.0,0.005263,1.0,0.0,0.05,NORMAL_SIGNAL
PROFILE-DEA9C5,400,400,1.0,0.885231,0.877,0.123,0.0025,1.0,0.1425,0.0,NORMAL_SIGNAL
PROFILE-F5FF91,400,400,1.0,0.923077,1.0,0.0,0.075,1.0,0.0,0.0,NORMAL_SIGNAL
