regime_id,regime_label,definition,observations,share_of_all_executions
NORMAL_SIGNAL,Normal signal,"No factual alert, semantic-variation signal or incomplete measurement detected.",4519,0.941458
SEMANTIC_VARIATION,Semantic variation,Semantic-instability signal detected without factual alert.,65,0.013542
FACTUAL_ALERT,Factual alert,Non-zero factual-risk signal or FLAG decision without semantic-variation signal.,19,0.003958
COMBINED_ALERT,Combined alert,Both factual-alert and semantic-variation signals detected.,0,0.0
INCOMPLETE_MEASUREMENT,Incomplete measurement,Execution error or missing core metric; excluded from fully-scored aggregates.,197,0.041042
