profile_id,executions_total,executions_fully_scored,coverage_rate,stability_mean,semantic_variation_rate,flag_rate,error_rate,dominant_regime
PROFILE-161CC5,400,381,0.9525,0.922996,0.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-212079,400,377,0.9425,0.921445,0.026525,0.005,0.0175,NORMAL_SIGNAL
PROFILE-486F91,400,386,0.965,0.920925,0.007772,0.0075,0.0,NORMAL_SIGNAL
PROFILE-48C581,400,389,0.9725,0.923077,0.023136,0.0,0.0,NORMAL_SIGNAL
PROFILE-59664C,400,382,0.955,0.923077,0.007853,0.0,0.0,NORMAL_SIGNAL
PROFILE-5A5C60,400,383,0.9575,0.922274,0.005222,0.0025,0.0,NORMAL_SIGNAL
PROFILE-5B3BB7,400,386,0.965,0.921722,0.010363,0.0025,0.0,NORMAL_SIGNAL
PROFILE-638E26,400,383,0.9575,0.923077,0.007833,0.0,0.0,NORMAL_SIGNAL
PROFILE-739F7C,400,391,0.9775,0.922998,0.017903,0.0,0.0,NORMAL_SIGNAL
PROFILE-B912EA,400,379,0.9475,0.923077,0.005277,0.0,0.0,NORMAL_SIGNAL
PROFILE-DEA9C5,400,383,0.9575,0.923077,0.020888,0.0,0.0,NORMAL_SIGNAL
PROFILE-F5FF91,400,383,0.9575,0.923077,0.036554,0.0,0.0,NORMAL_SIGNAL
