regime_id,regime_label,definition,observations,share_of_all_executions
NORMAL_SIGNAL,Normal signal,"No factual alert, semantic-variation signal or incomplete measurement detected.",4605,0.959375
SEMANTIC_VARIATION,Semantic variation,Semantic-instability signal detected without factual alert.,127,0.026458
FACTUAL_ALERT,Factual alert,Non-zero factual-risk signal or FLAG decision without semantic-variation signal.,41,0.008542
COMBINED_ALERT,Combined alert,Both factual-alert and semantic-variation signals detected.,0,0.0
INCOMPLETE_MEASUREMENT,Incomplete measurement,Execution error or missing core metric; excluded from fully-scored aggregates.,27,0.005625
