profile_id,executions_total,executions_fully_scored,coverage_rate,stability_mean,semantic_variation_rate,flag_rate,error_rate,dominant_regime
PROFILE-161CC5,400,398,0.995,0.923077,0.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-212079,400,399,0.9975,0.922074,0.035088,0.0025,0.0,NORMAL_SIGNAL
PROFILE-486F91,400,399,0.9975,0.922923,0.007519,0.0,0.0,NORMAL_SIGNAL
PROFILE-48C581,400,400,1.0,0.922077,0.0225,0.0025,0.0,NORMAL_SIGNAL
PROFILE-59664C,400,399,0.9975,0.922923,0.007519,0.0,0.0,NORMAL_SIGNAL
PROFILE-5A5C60,400,399,0.9975,0.923077,0.017544,0.0,0.0,NORMAL_SIGNAL
PROFILE-5B3BB7,400,399,0.9975,0.922306,0.005013,0.0,0.0,NORMAL_SIGNAL
PROFILE-638E26,400,398,0.995,0.923077,0.025126,0.0,0.0,NORMAL_SIGNAL
PROFILE-739F7C,400,398,0.995,0.922381,0.027638,0.0025,0.0,NORMAL_SIGNAL
PROFILE-B912EA,400,399,0.9975,0.923077,0.005013,0.0,0.0,NORMAL_SIGNAL
PROFILE-DEA9C5,400,400,1.0,0.923077,0.0575,0.0,0.0,NORMAL_SIGNAL
PROFILE-F5FF91,400,399,0.9975,0.923077,0.0401,0.0,0.0,NORMAL_SIGNAL
