regime_id,regime_label,definition,observations,share_of_all_executions
NORMAL_SIGNAL,Normal signal,"No factual alert, semantic-variation signal or incomplete measurement detected.",4662,0.97125
SEMANTIC_VARIATION,Semantic variation,Semantic-instability signal detected without factual alert.,99,0.020625
FACTUAL_ALERT,Factual alert,Non-zero factual-risk signal or FLAG decision without semantic-variation signal.,25,0.005208
COMBINED_ALERT,Combined alert,Both factual-alert and semantic-variation signals detected.,1,0.000208
INCOMPLETE_MEASUREMENT,Incomplete measurement,Execution error or missing core metric; excluded from fully-scored aggregates.,13,0.002708
