profile_id,executions_total,executions_fully_scored,coverage_rate,stability_mean,semantic_variation_rate,flag_rate,error_rate,dominant_regime
PROFILE-161CC5,400,399,0.9975,0.922074,0.002506,0.0025,0.0,NORMAL_SIGNAL
PROFILE-212079,400,399,0.9975,0.923077,0.052632,0.0,0.0,NORMAL_SIGNAL
PROFILE-486F91,400,400,1.0,0.923077,0.0075,0.0,0.0,NORMAL_SIGNAL
PROFILE-48C581,400,399,0.9975,0.922923,0.022556,0.0,0.0,NORMAL_SIGNAL
PROFILE-59664C,400,400,1.0,0.923077,0.0125,0.0,0.0,NORMAL_SIGNAL
PROFILE-5A5C60,400,397,0.9925,0.923077,0.027708,0.0,0.0,NORMAL_SIGNAL
PROFILE-5B3BB7,400,388,0.97,0.922522,0.023196,0.0,0.0225,NORMAL_SIGNAL
PROFILE-638E26,400,399,0.9975,0.923077,0.017544,0.0,0.0,NORMAL_SIGNAL
PROFILE-739F7C,400,400,1.0,0.923077,0.0125,0.0,0.0,NORMAL_SIGNAL
PROFILE-B912EA,400,398,0.995,0.923077,0.002513,0.0,0.0,NORMAL_SIGNAL
PROFILE-DEA9C5,400,399,0.9975,0.923077,0.022556,0.0,0.0,NORMAL_SIGNAL
PROFILE-F5FF91,400,399,0.9975,0.923077,0.027569,0.0,0.0,NORMAL_SIGNAL
