profile_id,executions_total,executions_fully_scored,coverage_rate,stability_mean,validity_signal_mean,factual_risk_mean,semantic_variation_rate,coherence_mean,flag_rate,error_rate,dominant_regime
PROFILE-161CC5,400,396,0.99,0.922611,0.998485,0.001515,0.0,1.0,0.0025,0.01,NORMAL_SIGNAL
PROFILE-212079,400,370,0.925,0.923077,1.0,0.0,0.0,1.0,0.0,0.075,NORMAL_SIGNAL
PROFILE-486F91,400,399,0.9975,0.921072,0.993484,0.006516,0.0,1.0,0.01,0.0025,NORMAL_SIGNAL
PROFILE-48C581,400,400,1.0,0.919462,0.98825,0.01175,0.0075,1.0,0.0225,0.0,NORMAL_SIGNAL
PROFILE-59664C,400,399,0.9975,0.922152,0.996992,0.003008,0.047619,1.0,0.005,0.0025,NORMAL_SIGNAL
PROFILE-5A5C60,400,399,0.9975,0.922306,0.997494,0.002506,0.015038,1.0,0.0025,0.0025,NORMAL_SIGNAL
PROFILE-5B3BB7,400,398,0.995,0.923077,1.0,0.0,0.012563,1.0,0.0,0.005,NORMAL_SIGNAL
PROFILE-638E26,400,398,0.995,0.923077,1.0,0.0,0.125628,1.0,0.0,0.005,NORMAL_SIGNAL
PROFILE-739F7C,400,400,1.0,0.922539,0.99825,0.00175,0.0,1.0,0.0025,0.0,NORMAL_SIGNAL
PROFILE-B912EA,400,399,0.9975,0.922614,0.998496,0.001504,0.005013,1.0,0.0025,0.0025,NORMAL_SIGNAL
PROFILE-DEA9C5,400,400,1.0,0.902077,0.93175,0.06825,0.0075,1.0,0.0975,0.0,NORMAL_SIGNAL
PROFILE-F5FF91,400,400,1.0,0.923077,1.0,0.0,0.0775,1.0,0.0,0.0,NORMAL_SIGNAL
