profile_id,executions_total,executions_fully_scored,coverage_rate,stability_mean,validity_signal_mean,factual_risk_mean,semantic_variation_rate,coherence_mean,flag_rate,error_rate,dominant_regime
PROFILE-161CC5,400,397,0.9925,0.923077,1.0,0.0,0.002519,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-212079,400,399,0.9975,0.923077,1.0,0.0,0.075188,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-486F91,400,393,0.9825,0.922372,0.99771,0.00229,0.002545,1.0,0.0025,0.0125,NORMAL_SIGNAL
PROFILE-48C581,400,398,0.995,0.922845,0.999246,0.000754,0.007538,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-59664C,400,400,1.0,0.922923,0.9995,0.0005,0.0175,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-5A5C60,400,397,0.9925,0.923077,1.0,0.0,0.030227,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-5B3BB7,400,398,0.995,0.921685,0.995477,0.004523,0.012563,1.0,0.0025,0.0,NORMAL_SIGNAL
PROFILE-638E26,400,398,0.995,0.923077,1.0,0.0,0.030151,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-739F7C,400,400,1.0,0.923077,1.0,0.0,0.015,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-B912EA,400,397,0.9925,0.923077,1.0,0.0,0.005038,1.0,0.0,0.0025,NORMAL_SIGNAL
PROFILE-DEA9C5,400,397,0.9925,0.922999,0.999748,0.000252,0.047859,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-F5FF91,400,399,0.9975,0.923077,1.0,0.0,0.042607,1.0,0.0,0.0,NORMAL_SIGNAL
