profile_id,executions_total,executions_fully_scored,coverage_rate,stability_mean,semantic_variation_rate,flag_rate,error_rate,dominant_regime
PROFILE-161CC5,400,400,1.0,0.923077,0.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-212079,400,399,0.9975,0.923077,0.065163,0.0,0.0,NORMAL_SIGNAL
PROFILE-486F91,400,397,0.9925,0.922999,0.005038,0.0,0.0,NORMAL_SIGNAL
PROFILE-48C581,400,399,0.9975,0.922383,0.010025,0.0025,0.0,NORMAL_SIGNAL
PROFILE-59664C,400,398,0.995,0.923,0.012563,0.0,0.0,NORMAL_SIGNAL
PROFILE-5A5C60,400,397,0.9925,0.922302,0.012594,0.0025,0.0,NORMAL_SIGNAL
PROFILE-5B3BB7,400,395,0.9875,0.922843,0.007595,0.0,0.0,NORMAL_SIGNAL
PROFILE-638E26,400,400,1.0,0.923077,0.0075,0.0,0.0,NORMAL_SIGNAL
PROFILE-739F7C,400,399,0.9975,0.923077,0.02005,0.0,0.0,NORMAL_SIGNAL
PROFILE-B912EA,400,399,0.9975,0.923077,0.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-DEA9C5,400,399,0.9975,0.922923,0.010025,0.0,0.0,NORMAL_SIGNAL
PROFILE-F5FF91,400,399,0.9975,0.923077,0.037594,0.0,0.0,NORMAL_SIGNAL
