regime_id,regime_label,definition,observations,share_of_all_executions
NORMAL_SIGNAL,Normal signal,"No factual alert, semantic-variation signal or incomplete measurement detected.",4668,0.9725
SEMANTIC_VARIATION,Semantic variation,Semantic-instability signal detected without factual alert.,62,0.012917
FACTUAL_ALERT,Factual alert,Non-zero factual-risk signal or FLAG decision without semantic-variation signal.,31,0.006458
COMBINED_ALERT,Combined alert,Both factual-alert and semantic-variation signals detected.,13,0.002708
INCOMPLETE_MEASUREMENT,Incomplete measurement,Execution error or missing core metric; excluded from fully-scored aggregates.,26,0.005417
