profile_id,executions_total,executions_fully_scored,coverage_rate,stability_mean,validity_signal_mean,factual_risk_mean,semantic_variation_rate,coherence_mean,flag_rate,error_rate,dominant_regime
PROFILE-161CC5,400,400,1.0,0.922769,0.999,0.001,0.0,1.0,0.0025,0.0,NORMAL_SIGNAL
PROFILE-212079,400,399,0.9975,0.923077,1.0,0.0,0.0,1.0,0.0,0.0025,NORMAL_SIGNAL
PROFILE-486F91,400,400,1.0,0.920923,0.993,0.007,0.0025,1.0,0.01,0.0,NORMAL_SIGNAL
PROFILE-48C581,400,400,1.0,0.915077,0.974,0.026,0.0125,1.0,0.045,0.0,NORMAL_SIGNAL
PROFILE-59664C,400,400,1.0,0.922154,0.997,0.003,0.0325,1.0,0.005,0.0,NORMAL_SIGNAL
PROFILE-5A5C60,400,400,1.0,0.923077,1.0,0.0,0.0125,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-5B3BB7,400,400,1.0,0.922615,0.9985,0.0015,0.005,1.0,0.0025,0.0,NORMAL_SIGNAL
PROFILE-638E26,400,400,1.0,0.922615,0.9985,0.0015,0.1175,1.0,0.0025,0.0,NORMAL_SIGNAL
PROFILE-739F7C,400,400,1.0,0.923077,1.0,0.0,0.0025,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-B912EA,400,400,1.0,0.923077,1.0,0.0,0.005,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-DEA9C5,400,400,1.0,0.900923,0.928,0.072,0.0075,1.0,0.1025,0.0,NORMAL_SIGNAL
PROFILE-F5FF91,400,400,1.0,0.923077,1.0,0.0,0.05,1.0,0.0,0.0,NORMAL_SIGNAL
